PointID,Clay_percent,P_ppm,K_ppm,NDVI,pH
1,20,23,215,0.08,5.52
2,20,16,101,0.31,6.59
3,25,19,127,0.67,5.09
4,22,23,189,0.23,5.29
5,19,23,232,0.11,7.93
6,21,23,105,0.65,8.09
7,25,25,229,0.55,6.1
8,24,20,90,0.82,6.41
9,20,25,113,0.99,4.02
10,18,23,190,0.23,7.33
11,25,17,177,0.63,4.79
12,16,19,159,0.4,8.32
13,17,23,103,0.31,4.06
14,20,22,209,0.29,5.86
15,22,16,215,0.39,5.78
16,22,18,106,0.4,7.97
17,17,21,75,0.35,5.92
18,21,24,104,0.99,8.84
19,15,21,101,0.13,6.26
20,17,17,199,0.25,5.84
21,17,19,84,0.37,5.49
22,15,25,108,0.88,7.53
23,18,23,101,0.68,7.09
24,20,21,80,0.95,6.01
25,16,19,217,0.26,5.54
26,23,17,110,0.28,8.22
27,20,20,186,0.58,8.43
28,21,19,234,0.07,5.54
29,21,25,184,0.29,4.06
30,25,25,162,0.61,7.33
31,23,21,229,0.15,7.58
32,22,22,202,0.07,4.07
33,18,17,244,0.94,8.93
34,21,17,128,0.39,4.15
35,17,24,78,0.54,4.86
36,16,23,108,0.41,7.58
37,19,15,142,0.97,4.21
38,16,16,98,0.02,5.47
39,18,23,113,0.76,5.75
40,17,15,223,0.08,4.6
41,15,20,210,0.52,8.26
42,19,23,247,0.65,4.12
43,17,18,209,0.89,7.87
